phenotype	category
aggression	social behaviour
approach rate	social behaviour
naso-anal contact rate	social behaviour
mounting rate	social behaviour
rearing rate	social behaviour
reciprocal latency to fight	social behaviour
neck bite marks	assumed social behaviour
tail bite marks	assumed social behaviour
body bite marks	assumed social behaviour
feeding rates	non-social behaviour
dyadic fights (fighting ability)	social behaviour
old cone hoard size	non-social behaviour
new cone hoard size	non-social behaviour
Performing feather pecks 6 weeks	social behaviour
Performing bouts of feather pecks 6 weeks	social behaviour
Performing feather pecks 38 weeks	social behaviour
Performing bouts of feather pecks 38 weeks	social behaviour
Performing feather pecks 69 weeks	social behaviour
Performing bouts of feather pecks 69 weeks	social behaviour
Running duration - day 1	non-social behaviour
Running duration - day 2	non-social behaviour
Running duration - day 3	non-social behaviour
Running duration - day 4	non-social behaviour
Running duration - day 5	non-social behaviour
Running duration- day 6	non-social behaviour
Running speed - day 1	non-social behaviour
Running speed - day 2	non-social behaviour
Running speed - day 3	non-social behaviour
Running speed - day 4	non-social behaviour
Running speed- day 5	non-social behaviour
Running speed- day 6	non-social behaviour
Feather condition score	assumed social behaviour
social dominance	social behaviour
nesting site preference	non-social behaviour
neck feather condition score	assumed social behaviour
back feather condition score	assumed social behaviour
rump feather condition score	assumed social behaviour
belly feather condition score	assumed social behaviour
divorce	social behaviour
Aggression	social behaviour
Social dominance	social behaviour
